ProjectAccession,Instrument,Quantification Method,Software,PTM
PXD007255,MS:1000932,PRIDE:0000322,,UNIMOD:28|UNIMOD:27|UNIMOD:7|UNIMOD:4|UNIMOD:35
PXD007257,MS:1001742,,,MOD:00397
PXD007258,MS:1001911,PRIDE:0000436,,UNIMOD:385|UNIMOD:23|UNIMOD:4|UNIMOD:35|UNIMOD:1
PXD007214,MS:1001911,PRIDE:0000425,,MOD:00696
PXD007185,MS:1001910,,,MOD:00397
PXD007170,MS:1001910,,,MOD:00425|MOD:00696|MOD:00394|MOD:00040|MOD:00399|MOD:00397
PXD004706,MS:1001742,,,PRIDE:0000398
PXD007153,MS:1001911,,,MS:1001460|UNIMOD:4|UNIMOD:35
PXD007167,MS:1001910|MS:1001742,,,MOD:00425|MOD:00696|MOD:00397
PXD007206,MS:1001910|MS:1001742|MS:1001911,PRIDE:0000314,,MOD:01720
PXD003519,MS:1000449,,,UNIMOD:4|UNIMOD:35
PXD007259,MS:1002416|MS:1000556|MS:1001911,PRIDE:0000312|PRIDE:0000310,,MOD:00397
PXD007251,MS:1000932,,,MOD:00397
PXD007172,MS:1001742,,,MOD:00544
PXD012906,MS:1002417,PRIDE:0000314,,MOD:01720|MOD:00425|MOD:00696|MOD:00397
PXD007174,MS:1001911,,,MOD:00425|MOD:00397
PXD007244,MS:1001742,,,MOD:00425|MOD:00394|MOD:00397
PXD007227,MS:1000447,PRIDE:0000435,,PRIDE:0000398
PXD007191,MS:1002417,,,MOD:00425|MOD:00674
PXD007192,MS:1001742,PRIDE:0000425,,PRIDE:0000398
PXD007262,MS:1001742,,,MOD:00425|MOD:00397
PXD007265,MS:1001742,PRIDE:0000316,,MOD:00425|MOD:00394|MOD:00397|MOD:00400
PXD008881,MS:1002523,,,MOD:00425|MOD:00429|MOD:00696|MOD:00394|MOD:00397|MOD:00599
PXD003014,MS:1001910,,,MOD:01214|MOD:00425
PXD007243,MS:1001911,,,MOD:00492
PXD007226,MS:1002523,PRIDE:0000438,,UNIMOD:7|UNIMOD:4|UNIMOD:35
PXD007266,MS:1001911,,,MOD:01499
PXD007267,MS:1001742,,,UNIMOD:|UNIMOD:4|UNIMOD:35
PXD007268,MS:1000449,,,UNIMOD:|UNIMOD:7|UNIMOD:4|UNIMOD:35
PXD007203,MS:1002732,,,PRIDE:0000398
PXD007254,MS:1000449,,,MOD:00394|MOD:00397
PXD007535,MS:1000187|MS:1001742,PRIDE:0000311|PRIDE:0000425,,MOD:00397
PXD007183,MS:1001911,PRIDE:0000314,,MOD:00425|MOD:00397
PXD007544,MS:1000449,PRIDE:0000316,,MOD:00429
PXD007146,MS:1001911,,,MOD:00397
PXD007207,MS:1000448,,,PRIDE:0000398
PXD007180,MS:1000449,,,MOD:00397
PXD007543,MS:1001911,,,MOD:00425|MOD:00394|MOD:00397
PXD007250,MS:1002732,PRIDE:0000312,,MOD:00425|MOD:00397
PXD007533,MS:1001911,PRIDE:0000312,,PRIDE:0000398
PXD007282,MS:1001910,PRIDE:0000323,,UNIMOD:4|UNIMOD:35
PXD007285,MS:1002416,,,MOD:00425|MOD:00397
PXD007573,MS:1001911,PRIDE:0000313,,PRIDE:0000398
PXD007637,MS:1002416,PRIDE:0000314,,MOD:01720|MOD:00425|MOD:00397
PXD007638,MS:1001911,PRIDE:0000314,,MOD:01720|MOD:00425|MOD:00394|MOD:00397
PXD007580,MS:1001911,,,UNIMOD:4|UNIMOD:35
PXD007647,MS:1002417|MS:1001911,PRIDE:0000314,,MOD:01153
PXD007687,MS:1002732,,,MOD:00394
